Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,6.850000,6.860000,6.800000,6.830000,6.550582,4545700
2017-08-02,6.790000,6.810000,6.760000,6.790000,6.512218,3273500
2017-08-03,6.770000,6.860000,6.760000,6.820000,6.540991,4570000
2017-08-04,6.900000,6.910000,6.830000,6.860000,6.579355,5241500
2017-08-07,6.870000,6.890000,6.860000,6.890000,6.608127,2923600
2017-08-08,6.890000,6.910000,6.830000,6.830000,6.550582,4089600
2017-08-09,6.720000,6.770000,6.710000,6.770000,6.493037,6191200
2017-08-10,6.640000,6.640000,6.510000,6.520000,6.253264,9544200
2017-08-11,6.520000,6.540000,6.430000,6.470000,6.205309,7234500
2017-08-14,6.580000,6.640000,6.580000,6.600000,6.329991,4463000
2017-08-15,6.580000,6.600000,6.540000,6.590000,6.320401,4394300
2017-08-16,6.640000,6.660000,6.610000,6.620000,6.349173,3631900
2017-08-17,6.500000,6.530000,6.380000,6.380000,6.118992,6748600
2017-08-18,6.400000,6.490000,6.380000,6.460000,6.195718,4265800
2017-08-21,6.460000,6.460000,6.410000,6.440000,6.176537,3672400
2017-08-22,6.430000,6.480000,6.420000,6.470000,6.205309,2962700
2017-08-23,6.430000,6.460000,6.390000,6.440000,6.176537,5231100
2017-08-24,6.520000,6.530000,6.460000,6.480000,6.214900,4571100
2017-08-25,6.520000,6.570000,6.510000,6.530000,6.262855,3570700
2017-08-28,6.570000,6.570000,6.500000,6.500000,6.234083,2454800
2017-08-29,6.460000,6.510000,6.450000,6.500000,6.234083,4602900
2017-08-30,6.480000,6.490000,6.430000,6.440000,6.176537,2850600
2017-08-31,6.530000,6.550000,6.490000,6.510000,6.243673,3761800
2017-09-01,6.520000,6.540000,6.490000,6.510000,6.243673,2849300
2017-09-05,6.430000,6.440000,6.290000,6.330000,6.071037,6611200
2017-09-06,6.350000,6.390000,6.340000,6.360000,6.099810,6363100
2017-09-07,6.400000,6.410000,6.340000,6.390000,6.128582,8487200
2017-09-08,6.440000,6.480000,6.410000,6.410000,6.147764,5948300
2017-09-11,6.550000,6.640000,6.550000,6.620000,6.349173,4862900
2017-09-12,6.650000,6.680000,6.640000,6.650000,6.377946,4419700
2017-09-13,6.680000,6.700000,6.640000,6.640000,6.368355,2590900
2017-09-14,6.680000,6.720000,6.680000,6.700000,6.425900,3310200
2017-09-15,6.640000,6.690000,6.640000,6.660000,6.387537,3917200
2017-09-18,6.730000,6.750000,6.700000,6.710000,6.435491,4527600
2017-09-19,6.780000,6.800000,6.760000,6.790000,6.512218,5391600
2017-09-20,6.710000,6.750000,6.670000,6.740000,6.464263,5441200
2017-09-21,6.800000,6.800000,6.760000,6.790000,6.512218,3001500
2017-09-22,6.820000,6.850000,6.810000,6.830000,6.550582,3958600
2017-09-25,6.770000,6.770000,6.640000,6.680000,6.406718,4529300
2017-09-26,6.680000,6.680000,6.610000,6.630000,6.358764,2893000
2017-09-27,6.870000,6.890000,6.830000,6.850000,6.569763,6417300
2017-09-28,6.920000,6.920000,6.880000,6.910000,6.627309,4762500
2017-09-29,6.890000,6.940000,6.890000,6.940000,6.656082,4828700
2017-10-02,6.710000,6.820000,6.700000,6.820000,6.540991,7491900
2017-10-03,6.760000,6.820000,6.750000,6.800000,6.521810,5031400
2017-10-04,6.600000,6.620000,6.540000,6.550000,6.282037,12944300
2017-10-05,6.670000,6.830000,6.660000,6.700000,6.425900,8640300
2017-10-06,6.730000,6.760000,6.680000,6.740000,6.464263,6320300
2017-10-09,6.780000,6.800000,6.730000,6.760000,6.483446,5256300
2017-10-10,6.610000,6.830000,6.580000,6.820000,6.540991,19443300
2017-10-11,6.660000,6.710000,6.660000,6.700000,6.425900,5156100
2017-10-12,6.670000,6.680000,6.630000,6.640000,6.368355,3542700
2017-10-13,6.590000,6.640000,6.570000,6.580000,6.310809,3889200
2017-10-16,6.510000,6.530000,6.470000,6.520000,6.298093,3838200
2017-10-17,6.590000,6.620000,6.550000,6.550000,6.327073,3392100
2017-10-18,6.570000,6.640000,6.570000,6.610000,6.385030,3296800
2017-10-19,6.560000,6.610000,6.550000,6.580000,6.356051,3111400
2017-10-20,6.600000,6.620000,6.560000,6.560000,6.336732,3231600
2017-10-23,6.520000,6.530000,6.450000,6.460000,6.240136,3613100
2017-10-24,6.560000,6.620000,6.540000,6.590000,6.365711,3601400
2017-10-25,6.660000,6.680000,6.590000,6.630000,6.404350,5196000
2017-10-26,6.840000,6.850000,6.700000,6.740000,6.510606,7788700
2017-10-27,6.560000,6.640000,6.520000,6.530000,6.307753,12701500
2017-10-30,6.740000,6.770000,6.730000,6.730000,6.500946,10173500
2017-10-31,6.770000,6.800000,6.730000,6.740000,6.510606,4609200
2017-11-01,6.750000,6.780000,6.730000,6.770000,6.539585,4339200
2017-11-02,6.700000,6.770000,6.690000,6.770000,6.539585,5580200
2017-11-03,6.610000,6.620000,6.550000,6.600000,6.375371,5565200
2017-11-06,6.520000,6.560000,6.500000,6.560000,6.336732,3409900
2017-11-07,6.550000,6.550000,6.450000,6.460000,6.240136,4171600
2017-11-08,6.450000,6.490000,6.420000,6.480000,6.259455,2685600
2017-11-09,6.470000,6.480000,6.400000,6.460000,6.240136,3905500
2017-11-10,6.510000,6.540000,6.450000,6.460000,6.240136,2640000
2017-11-13,6.410000,6.450000,6.400000,6.420000,6.201497,2929800
2017-11-14,6.430000,6.440000,6.390000,6.390000,6.172518,2978800
2017-11-15,6.380000,6.510000,6.370000,6.490000,6.269114,2835000
2017-11-16,6.530000,6.540000,6.490000,6.500000,6.278774,1747600
2017-11-17,6.490000,6.490000,6.440000,6.450000,6.230476,2476200
2017-11-20,6.450000,6.450000,6.390000,6.420000,6.201497,2975800
2017-11-21,6.420000,6.450000,6.400000,6.400000,6.182178,2581700
2017-11-22,6.480000,6.500000,6.440000,6.460000,6.240136,2747400
2017-11-24,6.620000,6.630000,6.580000,6.590000,6.365711,3021600
2017-11-27,6.620000,6.670000,6.600000,6.610000,6.385030,2881000
2017-11-28,6.620000,6.660000,6.580000,6.650000,6.423669,3342400
2017-11-29,6.710000,6.770000,6.700000,6.730000,6.500946,5290400
2017-11-30,6.770000,6.780000,6.680000,6.690000,6.462307,4879900
2017-12-01,6.660000,6.660000,6.510000,6.590000,6.365711,6176000
2017-12-04,6.600000,6.600000,6.560000,6.570000,6.346392,4227100
2017-12-05,6.550000,6.590000,6.500000,6.500000,6.278774,3415600
2017-12-06,6.430000,6.460000,6.410000,6.430000,6.211157,3838100
2017-12-07,6.450000,6.530000,6.450000,6.480000,6.259455,4804400
2017-12-08,6.620000,6.640000,6.580000,6.610000,6.385030,3956700
2017-12-11,6.620000,6.650000,6.610000,6.630000,6.404350,2617800
2017-12-12,6.620000,6.660000,6.590000,6.650000,6.423669,3983200
2017-12-13,6.640000,6.650000,6.590000,6.590000,6.365711,4068500
2017-12-14,6.650000,6.680000,6.560000,6.560000,6.336732,3802600
2017-12-15,6.610000,6.620000,6.550000,6.560000,6.336732,4383900
2017-12-18,6.630000,6.660000,6.620000,6.630000,6.404350,3805900
2017-12-19,6.670000,6.690000,6.650000,6.670000,6.442988,3054900
